# x y z nx ny nz
0.129051 -0.026071 0.128625 -0.467779 0.303441 0.830124
0.111966 0.018636 0.103063 -0.902203 0.312221 0.297571
0.100805 0.003764 0.128991 0.114199 0.756214 0.644282
0.091967 -0.004617 0.129621 -0.779003 0.580691 -0.236542
0.139632 -0.041400 0.131742 0.945176 -0.242661 -0.218535
0.088573 -0.032186 0.031410 0.657003 -0.663761 -0.357447
0.121454 0.005867 0.019682 0.278010 -0.164499 -0.946388
0.125834 0.046855 0.075837 -0.740378 0.370505 -0.560863
0.096030 -0.000676 0.125992 -0.769970 0.600320 -0.216247
0.085537 0.039606 0.071486 0.285655 0.808634 0.514308
0.102741 0.007331 0.111844 -0.599613 0.694183 -0.398215
0.139247 -0.026201 0.123976 0.958883 0.191097 0.209822
0.094862 0.017622 -0.005865 -0.019792 0.035170 -0.999185
0.076755 -0.001997 0.085408 0.264428 -0.352537 0.897661
0.081752 0.050337 -0.004948 0.015456 0.045720 -0.998835
0.045023 0.050180 0.014704 -0.305160 0.906501 -0.291775
0.108901 -0.002699 0.087864 0.022078 -0.601998 0.798192
0.069159 0.004366 -0.001207 -0.001688 -0.025891 -0.999663
0.070982 0.029809 0.086792 0.228927 0.524231 0.820228
0.050411 0.017065 -0.005756 0.036733 -0.136288 -0.989988
0.101996 0.007073 0.088819 -0.157708 -0.096533 0.982756
0.090844 -0.005429 0.139579 0.258766 0.594758 0.761120
0.084426 0.025971 -0.001669 -0.054037 0.074672 -0.995743
0.135418 -0.043054 0.129615 0.468036 -0.605114 -0.644034
0.137867 -0.016408 0.116188 0.855504 -0.121621 -0.503310
0.041190 -0.002724 -0.004793 -0.661971 -0.182170 -0.727055
0.086728 0.006463 0.085797 0.134034 -0.122070 0.983430
0.059644 0.021943 -0.003350 0.585117 0.310552 -0.749130
0.146501 0.041762 0.102436 0.771600 0.448939 0.450651
0.131503 -0.003753 0.118859 -0.094032 0.507159 0.856708
0.098206 -0.028403 -0.005523 0.302840 -0.786607 -0.538087
0.133459 -0.009112 0.121719 0.389322 0.451146 0.803054
0.090280 -0.004777 0.139262 0.258766 0.594758 0.761120
0.109707 0.008871 -0.006164 -0.140439 0.465625 -0.873768
0.134483 -0.010047 0.121669 0.460179 0.463383 0.757306
0.035883 0.037698 0.000925 -0.743949 0.269586 -0.611444
0.092711 -0.014295 0.019369 0.941380 -0.230018 -0.246769
0.116091 0.012590 0.008710 0.592524 0.398473 0.700096
0.021974 0.033407 0.011591 0.155023 0.985321 0.071486
0.097440 -0.028850 -0.005300 0.302840 -0.786607 -0.538087
0.067717 0.043723 0.071510 0.049174 0.958063 0.282307
0.060572 0.057216 0.051893 -0.206707 0.948850 0.238653
0.114999 -0.006807 0.023125 0.722373 -0.638168 -0.266307
0.131843 -0.054366 0.140936 0.595676 -0.711150 0.373411
0.132095 0.010780 0.023162 0.687360 0.012298 -0.726213
0.093863 -0.007253 0.138233 0.546157 -0.017775 0.837494
0.096478 0.003720 0.119584 0.003505 0.563387 0.826186
0.111537 0.033538 0.018438 0.900459 0.425747 -0.088957
0.121109 0.043701 0.084095 -0.554117 0.784322 0.278914
0.137014 0.020500 0.028935 0.669670 0.185747 -0.719056
0.109893 0.033214 0.078434 -0.559067 0.828093 -0.041300
0.042016 -0.027268 0.028423 -0.357526 -0.925116 -0.127813
0.087447 -0.035230 0.039726 0.461417 -0.883932 -0.075884
0.093984 0.046421 0.005978 0.465454 0.600064 0.650596
0.116618 0.031174 0.109194 -0.870034 0.489095 0.061855
0.077814 0.058892 0.042235 -0.018879 0.959341 -0.281618
0.138885 -0.021877 0.120584 0.990339 0.004293 -0.138600
0.072037 -0.016032 0.128586 -0.529585 0.665303 0.526224
0.073889 -0.017170 0.131619 -0.513051 0.772610 0.373969
0.147891 0.027101 0.072734 0.646302 0.107019 -0.755540
0.049125 0.030638 -0.005027 0.338669 0.225755 -0.913421
0.086529 -0.034183 0.047570 0.371864 -0.859993 0.349470
0.033619 0.044399 0.019112 -0.590842 0.761410 -0.266759
0.079712 -0.004973 0.083253 0.075197 -0.532797 0.842895
0.127941 -0.012379 0.066455 0.433671 -0.840339 0.325207
0.125889 0.029697 -0.004904 0.235453 -0.055818 -0.970282
0.141436 0.051656 0.081798 0.432533 0.851429 -0.296621
0.057504 -0.016008 -0.005496 0.058942 0.101981 -0.993039
0.039929 -0.007997 -0.001090 -0.849172 -0.249961 -0.465217
0.059120 0.010655 -0.005050 0.322234 -0.046280 -0.945528
0.126182 0.029511 -0.004792 0.728532 -0.232200 -0.644456
0.143456 0.042098 0.104745 0.518714 0.581107 0.627097
0.120784 0.046438 -0.004278 0.372820 0.715459 -0.590867
0.136138 -0.006491 0.034703 0.597000 -0.598594 -0.534113
0.118053 0.004267 0.011695 0.989546 -0.127305 0.067770
0.134892 -0.023623 0.115277 0.985655 -0.158651 -0.057575
0.088364 0.016666 -0.003563 -0.138806 -0.179335 -0.973946
0.129143 -0.051601 0.117913 0.825547 -0.520766 -0.217426
0.107631 -0.016383 -0.005448 0.763209 -0.354814 -0.540018
0.026432 -0.014758 0.030520 -0.750479 -0.659110 0.048537
0.136603 -0.012223 0.110439 0.970215 -0.020941 0.241339
0.059043 -0.015888 0.076706 -0.048519 -0.824782 0.563365
0.029398 0.038248 0.063076 -0.584738 0.718188 0.377210
0.102715 0.025700 0.083808 0.076207 0.512074 0.855554
0.136527 -0.016586 0.110138 0.913800 -0.087535 -0.396619
0.084718 -0.010517 0.136893 -0.710044 0.695819 -0.108045
0.094775 0.049877 -0.003523 0.652384 0.596595 -0.467406
0.107056 -0.010944 0.021038 0.265818 -0.922472 -0.279976
0.016825 -0.001484 0.047527 -0.973857 -0.226106 0.021883
0.133264 -0.037552 0.110936 0.900699 -0.242347 -0.360568
0.142674 -0.002865 0.042208 0.761517 -0.475075 -0.440903
0.153318 0.032527 0.081863 0.996901 -0.060235 0.050596
0.076287 -0.037490 0.040384 0.049553 -0.976784 -0.208415
0.091191 0.040834 0.027897 -0.292160 0.929059 -0.226920
0.056256 -0.022204 -0.003702 -0.200882 -0.812510 -0.547242
0.087774 -0.027853 0.001166 -0.042961 -0.978818 0.200173
0.039736 -0.002289 -0.003631 -0.704591 -0.275025 -0.654150
0.132399 -0.006253 0.095284 0.182018 -0.975120 0.126533
0.124520 0.034284 -0.005250 0.095327 0.051820 -0.994096
0.112798 0.021846 0.006972 0.780715 -0.462299 0.420431
0.097610 0.010350 -0.006018 0.076968 0.052173 -0.995668
0.134854 0.038569 0.065960 0.254075 0.939241 -0.230807
0.015440 0.003194 0.038232 -0.983120 -0.176747 0.047285
0.117516 0.006384 0.015028 0.969144 0.143663 -0.200304
0.055340 0.056784 0.050038 -0.198354 0.914299 0.353147
0.123669 -0.003460 0.002575 0.403435 -0.558073 0.725117
0.125942 -0.026000 0.108739 -0.518564 -0.189377 -0.833804
0.075671 -0.037066 0.036143 -0.174091 -0.984329 0.028096
0.053582 0.020767 -0.005324 -0.118619 0.001408 -0.992939
0.142776 0.053023 0.086761 0.525827 0.848660 -0.057289
0.135118 -0.031821 0.121497 0.812652 -0.276916 -0.512752
0.135290 -0.048683 0.139655 0.323731 0.346008 0.880612
0.114067 -0.019976 0.043426 0.035796 -0.998310 -0.045785
0.117687 0.030369 0.113210 -0.305628 0.270063 0.913048
0.097456 -0.012921 0.008898 0.163476 -0.319090 0.933519
0.028734 -0.001242 0.074514 -0.734736 -0.263184 0.625218
0.065817 -0.021053 -0.005995 -0.071030 -0.223089 -0.972207
0.140934 0.017307 0.031761 0.788467 0.147829 -0.597047
0.137421 0.042550 0.069606 -0.078649 0.370067 -0.925670
0.074764 0.052212 -0.003867 -0.177683 0.598008 -0.781547
0.147496 0.003414 0.047178 0.895966 -0.304634 -0.323176
0.000931 0.019187 0.027338 -0.849528 0.377070 0.368945
0.097187 0.023614 0.085120 -0.073007 0.369325 0.926428
0.061344 0.056238 0.054641 -0.081262 0.869044 0.488015
0.071193 -0.027843 0.057472 0.091356 -0.475241 0.875100
0.048923 -0.024871 0.055232 -0.364542 -0.611080 0.702631
0.127033 -0.049737 0.136726 -0.613224 0.501239 0.610504
0.146731 0.028541 0.056850 0.840389 0.540858 0.034916
0.052381 -0.020248 0.061411 0.096475 -0.861328 0.498805
0.141974 0.032726 0.041172 0.822362 0.431104 -0.371309
0.003004 0.024979 0.019929 -0.861304 0.472571 -0.186634
0.075637 -0.036982 0.046118 -0.107021 -0.986757 0.121887
0.106168 0.008134 0.108413 -0.637548 0.623227 -0.452902
0.016630 0.004917 0.002095 -0.491889 -0.262816 -0.830044
0.089655 0.048030 0.008091 0.483130 0.396119 0.780817
0.062728 0.000851 0.089511 -0.017607 -0.385176 0.922675
0.093128 -0.024396 0.046980 0.784295 -0.503960 0.361807
0.133306 0.016517 0.024452 0.720827 0.045635 -0.691611
0.148801 0.004151 0.091455 0.831378 -0.542471 0.120567
0.123384 -0.012548 0.108867 -0.989251 -0.014309 -0.145525
0.101324 0.021764 -0.005985 -0.127474 -0.228757 -0.965101
0.124033 0.047076 0.084720 -0.825429 0.512350 0.236992
0.153304 0.043273 0.081113 0.860896 0.508221 0.023850
0.107130 0.045099 0.054209 -0.296322 0.954328 0.038094
0.095324 0.049236 0.001001 0.922174 0.312725 0.227592
0.130920 -0.046918 0.124491 0.911411 -0.354254 -0.209365
0.031502 -0.010917 0.067780 -0.507834 -0.727813 0.460861
0.132469 0.045045 0.105153 -0.195596 0.766171 0.612147
0.050882 0.039466 -0.004863 0.013112 0.046757 -0.998820
0.009197 0.030299 0.015713 -0.561868 0.782635 -0.267931
0.124386 -0.059740 0.132043 0.437997 -0.884139 -0.162656
0.079353 0.054025 -0.003430 -0.251982 0.902310 -0.349774
0.103708 0.003630 0.128644 0.139012 0.744072 0.653478
0.095629 -0.000597 0.127644 -0.774761 0.594711 -0.214626
0.050353 -0.011282 0.081111 -0.299523 -0.620470 0.724778
0.141747 0.051934 0.094301 0.474355 0.768533 0.429354
0.139483 -0.033336 0.128187 0.921586 0.196010 0.335051
0.077280 -0.019444 0.146423 -0.817233 0.193662 0.542794
0.035283 0.038273 0.070095 -0.421713 0.798091 0.430359
0.026466 0.026448 0.072959 -0.787825 0.339492 0.513884
0.079417 -0.018740 0.147062 0.368680 -0.245730 0.896489
0.115280 0.031944 -0.005539 -0.010817 0.031942 -0.999431
0.093909 -0.009161 0.116925 -0.074531 -0.711475 -0.698747
0.136398 -0.016816 0.111746 0.943542 0.001313 0.331251
