x y z
0.060692 -0.022031 0.060532
0.073910 -0.011803 0.124775
0.137668 -0.007374 0.113562
0.072357 0.007828 0.089370
0.089696 0.032025 0.078554
0.105127 0.007103 0.122954
0.096030 -0.000676 0.125992
0.075467 0.023753 0.087901
0.135609 -0.024710 0.111808
0.127033 -0.049737 0.136726
0.126285 -0.012825 0.033114
0.133765 0.054527 0.078769
0.113028 -0.000543 0.122531
0.140605 -0.001351 0.101796
0.111966 0.018636 0.103063
0.111614 0.034587 0.086227
0.094210 0.002800 0.120081
0.151527 0.008705 0.077214
0.148573 0.016324 0.064584
0.117015 0.046003 0.041324
0.128223 0.000750 0.023454
0.083974 -0.031742 0.052362
0.137595 0.046659 0.103478
0.073237 0.058894 0.040443
0.039508 0.047423 0.059227
0.101265 0.006142 0.117854
0.111150 0.046466 0.049728
0.139013 0.030603 0.035583
0.120425 -0.004698 0.096824
0.133600 -0.007204 0.103333
0.028213 0.038583 0.060632
0.023836 -0.013874 0.041497
0.134288 -0.034311 0.132931
0.117824 0.040214 0.030650
0.142589 0.048534 0.098628
0.109893 0.033214 0.078434
0.129144 -0.008822 0.102484
0.075573 -0.016797 0.133161
0.118281 -0.012566 0.075457
0.132467 0.002383 0.116158
0.143665 0.050197 0.077692
0.003408 0.003583 0.020785
0.112994 0.035816 0.024714
0.012562 0.025636 0.029642
0.045090 0.052031 0.051683
0.072479 -0.025913 0.142909
0.057917 -0.018241 0.072968
0.053129 -0.024537 0.056962
0.133443 -0.021517 0.128022
0.044207 -0.023281 0.053863
0.136887 -0.032483 0.130765
0.107882 -0.020385 0.057643
0.136911 -0.050110 0.138851
0.123792 -0.006072 0.094876
0.105794 -0.015614 0.032266
0.141974 0.032726 0.041172
0.080966 -0.014951 0.146382
0.145258 0.026271 0.069514
0.078747 0.053644 0.026442
0.133780 0.020274 0.025359
0.139338 -0.044779 0.134477
0.134059 0.008763 0.115615
0.141979 -0.004375 0.043480
0.091859 0.046085 0.056551
0.062020 -0.015638 0.076326
0.113109 -0.019559 0.041628
0.027265 0.003040 0.074484
0.035700 0.049517 0.038129
0.111065 0.022016 0.098363
0.111742 -0.000175 0.124476
0.151360 0.015848 0.105912
0.075435 -0.021264 0.130006
0.108479 0.045913 0.044125
0.050423 -0.028752 0.021208
0.086593 -0.000246 0.120591
0.096952 0.045586 0.052323
0.127941 -0.012379 0.066455
0.152955 0.026582 0.077978
0.115987 0.044430 0.037239
0.053026 -0.014624 0.077703
0.138129 -0.028519 0.128131
0.107760 -0.017339 0.068462
0.088846 -0.005839 0.115769
0.133748 0.042361 0.051449
0.061187 -0.031127 0.054043
0.099723 0.017221 0.087692
0.019882 0.031620 0.025362
0.124803 0.022812 0.021362
0.000739 0.015086 0.028468
0.084312 -0.016502 0.142787
0.147891 0.027101 0.072734
0.104069 -0.019512 0.063227
0.073030 -0.021069 0.065985
0.050192 -0.028386 0.016460
0.132447 -0.009426 0.067734
0.103708 0.003630 0.128644
0.082260 0.019215 0.086660
0.116585 0.038218 0.027805
0.055845 -0.018552 0.069716
0.077637 0.054399 0.025395
0.083437 -0.006329 0.124224
0.054186 0.055917 0.019986
0.087447 -0.035230 0.039726
0.110330 0.011633 0.104283
0.066699 0.032427 0.086145
0.112022 -0.000998 0.108653
0.066600 0.058924 0.043127
0.153091 0.038927 0.077719
0.133725 -0.036487 0.111373
0.000499 0.017198 0.020420
0.072535 0.059058 0.041609
0.088573 -0.032186 0.031410
0.128614 -0.011772 0.121970
0.137234 0.052848 0.076675
0.124277 -0.053821 0.136601
0.036774 0.027092 0.082854
0.138530 -0.046332 0.136188
0.150734 0.020527 0.073403
0.028734 -0.001242 0.074514
0.004636 0.027536 0.023116
